program,source,type,size,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
sample_ranges_2_ternaries_4_exacts_2_size_2860,new,ranges,2860,1,2,0,1,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_4_exacts_2_size_2987,new,ranges,2987,2,2,1,1,0,0,0,0,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_4_exacts_2_size_3947,new,ranges,3947,1,2,2,0,0,0,1,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_4_exacts_2_size_4417,new,ranges,4417,0,1,1,2,0,0,0,1,66,288,22.92%,66/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_4_exacts_2_size_5076,new,ranges,5076,2,1,1,2,0,0,0,1,75,288,26.04%,75/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_4_exacts_2_size_5119,new,ranges,5119,1,1,0,1,0,0,2,1,75,288,26.04%,75/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_4_exacts_2_size_5377,new,ranges,5377,0,1,0,1,0,0,2,2,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_4_exacts_2_size_5521,new,ranges,5521,2,0,1,0,0,0,1,1,108,288,37.50%,108/288,5,960,0.52%,5/960
sample_ranges_2_ternaries_4_exacts_2_size_560,new,ranges,560,2,0,2,1,0,0,1,1,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_2_ternaries_4_exacts_2_size_5630,new,ranges,5630,1,1,1,2,0,0,0,0,84,288,29.17%,84/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_4_exacts_2_size_5990,new,ranges,5990,1,1,0,2,0,0,1,1,90,288,31.25%,90/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_4_exacts_2_size_6132,new,ranges,6132,1,2,2,1,0,0,1,0,54,288,18.75%,54/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_4_exacts_2_size_6150,new,ranges,6150,1,2,1,0,0,0,1,1,93,288,32.29%,93/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_4_exacts_2_size_6854,new,ranges,6854,1,1,2,1,0,0,2,0,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_4_exacts_2_size_8073,new,ranges,8073,0,1,1,2,0,0,1,0,120,288,41.67%,120/288,5,960,0.52%,5/960
sample_ranges_2_ternaries_5_exacts_1_size_1007,new,ranges,1007,2,1,0,1,0,0,1,1,20,288,6.94%,20/288,1,960,0.10%,1/960
sample_ranges_2_ternaries_5_exacts_1_size_1010,new,ranges,1010,1,1,1,2,0,0,2,1,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_2_ternaries_5_exacts_1_size_2015,new,ranges,2015,1,0,2,1,0,0,1,1,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_5_exacts_1_size_3780,new,ranges,3780,1,1,1,2,0,0,1,1,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_5_exacts_1_size_4024,new,ranges,4024,2,1,1,1,0,0,1,0,80,288,27.78%,80/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_5_exacts_1_size_4766,new,ranges,4766,0,2,2,1,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_5_exacts_1_size_5057,new,ranges,5057,1,2,0,1,0,0,1,1,75,288,26.04%,75/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_5_exacts_1_size_5349,new,ranges,5349,1,0,2,1,0,0,1,1,81,288,28.12%,81/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_5_exacts_1_size_6325,new,ranges,6325,0,1,2,2,0,0,1,1,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_5_exacts_1_size_673,new,ranges,673,1,1,2,0,0,0,2,1,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_2_ternaries_5_exacts_1_size_8053,new,ranges,8053,1,2,1,1,0,0,1,1,120,288,41.67%,120/288,5,960,0.52%,5/960
sample_ranges_2_ternaries_6_exacts_0_size_3768,new,ranges,3768,2,2,1,1,0,0,1,1,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_6_exacts_0_size_394,new,ranges,394,1,2,1,1,0,0,1,1,6,288,2.08%,6/288,1,960,0.10%,1/960
