program,source,type,size,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
sample_ranges_0_ternaries_8_exacts_0_size_4967,new,ranges,4967,1,1,1,1,0,0,1,1,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_8_exacts_0_size_7326,new,ranges,7326,1,1,1,1,0,0,1,1,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_0_exacts_7_size_1447,new,ranges,1447,0,0,0,0,0,0,0,0,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_0_exacts_7_size_1494,new,ranges,1494,0,0,0,2,0,0,0,0,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_0_exacts_7_size_2122,new,ranges,2122,0,0,0,0,0,0,0,0,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_0_exacts_7_size_2252,new,ranges,2252,0,0,0,0,0,0,2,0,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_0_exacts_7_size_2903,new,ranges,2903,0,0,0,0,0,0,2,0,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_0_exacts_7_size_3048,new,ranges,3048,0,0,0,0,0,0,2,0,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_0_exacts_7_size_3519,new,ranges,3519,0,2,0,0,0,0,0,0,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_0_exacts_7_size_4102,new,ranges,4102,0,0,0,0,0,0,0,0,63,288,21.88%,63/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_0_exacts_7_size_5390,new,ranges,5390,0,0,0,0,0,0,0,0,81,288,28.12%,81/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_0_exacts_7_size_5966,new,ranges,5966,0,0,0,0,0,0,0,0,90,288,31.25%,90/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_0_exacts_7_size_5988,new,ranges,5988,2,0,0,0,0,0,0,0,90,288,31.25%,90/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_0_exacts_7_size_7386,new,ranges,7386,0,2,0,0,0,0,0,0,66,288,22.92%,66/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_0_exacts_7_size_7989,new,ranges,7989,0,0,2,0,0,0,0,0,48,288,16.67%,48/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_1_exacts_6_size_1356,new,ranges,1356,0,1,2,0,0,0,0,0,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_1_exacts_6_size_1954,new,ranges,1954,0,0,0,0,0,0,2,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_1_exacts_6_size_2560,new,ranges,2560,0,1,0,2,0,0,0,0,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_1_exacts_6_size_4512,new,ranges,4512,2,0,1,0,0,0,0,0,69,288,23.96%,69/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_1_exacts_6_size_5034,new,ranges,5034,2,0,0,0,0,0,0,0,75,288,26.04%,75/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_1_exacts_6_size_6226,new,ranges,6226,0,1,2,0,0,0,0,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_1_exacts_6_size_6499,new,ranges,6499,2,0,0,1,0,0,0,0,96,288,33.33%,96/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_1_exacts_6_size_6631,new,ranges,6631,0,0,1,0,0,0,2,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_1_exacts_6_size_689,new,ranges,689,1,0,0,0,0,0,0,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_1_exacts_6_size_7036,new,ranges,7036,0,0,0,0,0,0,0,1,105,288,36.46%,105/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_1_exacts_6_size_7511,new,ranges,7511,0,0,0,0,0,0,2,0,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_1_exacts_6_size_7524,new,ranges,7524,1,0,0,0,0,0,2,0,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_1_exacts_6_size_7795,new,ranges,7795,2,0,0,0,0,0,0,0,117,288,40.62%,117/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_1_exacts_6_size_840,new,ranges,840,0,0,1,0,0,0,2,0,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_2_exacts_5_size_1298,new,ranges,1298,0,0,2,1,0,0,0,1,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_2_exacts_5_size_2462,new,ranges,2462,2,0,1,1,0,0,0,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_2_exacts_5_size_4982,new,ranges,4982,0,1,1,0,0,0,0,0,75,288,26.04%,75/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_3_exacts_4_size_1431,new,ranges,1431,1,0,0,0,0,0,2,1,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_3_exacts_4_size_1463,new,ranges,1463,2,0,1,1,0,0,1,0,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_3_exacts_4_size_1589,new,ranges,1589,0,0,1,2,0,0,0,0,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_3_exacts_4_size_1877,new,ranges,1877,0,1,0,0,0,0,1,0,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_3_exacts_4_size_1985,new,ranges,1985,2,1,1,0,0,0,0,1,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_3_exacts_4_size_3664,new,ranges,3664,0,1,0,0,0,0,2,1,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_3_exacts_4_size_4036,new,ranges,4036,1,0,0,0,0,0,0,1,60,288,20.83%,60/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_3_exacts_4_size_4403,new,ranges,4403,1,1,0,0,0,0,1,0,66,288,22.92%,66/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_3_exacts_4_size_4518,new,ranges,4518,1,1,1,2,0,0,0,0,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_3_exacts_4_size_5274,new,ranges,5274,0,1,1,0,0,0,1,0,78,288,27.08%,78/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_3_exacts_4_size_6962,new,ranges,6962,0,1,1,0,0,0,1,0,102,288,35.42%,102/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_3_exacts_4_size_7791,new,ranges,7791,2,0,0,1,0,0,0,1,117,288,40.62%,117/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_3_exacts_4_size_7838,new,ranges,7838,0,2,0,1,0,0,1,0,69,288,23.96%,69/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_3_exacts_4_size_817,new,ranges,817,0,1,1,2,0,0,0,0,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_3_exacts_4_size_8185,new,ranges,8185,1,0,1,0,0,0,1,0,120,288,41.67%,120/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_4_exacts_3_size_2450,new,ranges,2450,0,1,0,0,0,0,1,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_4_exacts_3_size_2662,new,ranges,2662,1,2,0,0,0,0,0,1,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_4_exacts_3_size_2789,new,ranges,2789,0,2,1,0,0,0,1,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_4_exacts_3_size_3030,new,ranges,3030,1,0,0,2,0,0,0,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_4_exacts_3_size_4289,new,ranges,4289,0,0,1,1,0,0,1,0,63,288,21.88%,63/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_5_exacts_2_size_1268,new,ranges,1268,1,1,0,1,0,0,1,0,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_5_exacts_2_size_1414,new,ranges,1414,0,1,1,0,0,0,1,1,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_5_exacts_2_size_2454,new,ranges,2454,1,1,1,2,0,0,1,0,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_5_exacts_2_size_2796,new,ranges,2796,1,1,0,2,0,0,0,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_5_exacts_2_size_2956,new,ranges,2956,0,1,0,1,0,0,2,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_5_exacts_2_size_4359,new,ranges,4359,0,1,1,1,0,0,1,1,66,288,22.92%,66/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_5_exacts_2_size_4546,new,ranges,4546,0,2,1,0,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_5_exacts_2_size_4751,new,ranges,4751,2,1,1,0,0,0,1,1,72,288,25.00%,72/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_5_exacts_2_size_5556,new,ranges,5556,2,1,1,1,0,0,0,1,84,288,29.17%,84/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_5_exacts_2_size_5568,new,ranges,5568,1,1,1,1,0,0,0,1,84,288,29.17%,84/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_5_exacts_2_size_5714,new,ranges,5714,1,2,1,0,0,0,1,1,51,288,17.71%,51/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_5_exacts_2_size_6274,new,ranges,6274,2,1,0,1,0,0,0,1,93,288,32.29%,93/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_5_exacts_2_size_6395,new,ranges,6395,2,1,1,1,0,0,0,1,96,288,33.33%,96/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_5_exacts_2_size_656,new,ranges,656,0,2,1,1,0,0,0,1,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_5_exacts_2_size_6996,new,ranges,6996,1,1,0,2,0,0,1,1,63,288,21.88%,63/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_5_exacts_2_size_7529,new,ranges,7529,1,2,1,0,0,0,1,1,69,288,23.96%,69/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_6_exacts_1_size_1129,new,ranges,1129,1,1,2,1,0,0,0,1,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_6_exacts_1_size_1865,new,ranges,1865,1,2,1,1,0,0,0,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_6_exacts_1_size_3884,new,ranges,3884,1,1,1,1,0,0,1,1,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_6_exacts_1_size_4363,new,ranges,4363,1,2,1,1,0,0,1,1,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_6_exacts_1_size_5636,new,ranges,5636,1,1,1,2,0,0,1,1,51,288,17.71%,51/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_6_exacts_1_size_5827,new,ranges,5827,1,0,1,2,0,0,1,1,54,288,18.75%,54/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_6_exacts_1_size_591,new,ranges,591,1,2,1,1,0,0,1,0,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_6_exacts_1_size_6354,new,ranges,6354,1,1,1,2,0,0,1,1,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_1_ternaries_6_exacts_1_size_6817,new,ranges,6817,1,1,1,1,0,0,1,1,102,288,35.42%,102/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_6_exacts_1_size_6848,new,ranges,6848,0,1,1,1,0,0,2,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_7_exacts_0_size_1475,new,ranges,1475,1,2,1,1,0,0,1,1,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_7_exacts_0_size_2536,new,ranges,2536,1,2,1,1,0,0,1,1,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_7_exacts_0_size_4604,new,ranges,4604,1,1,1,2,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_1_ternaries_7_exacts_0_size_514,new,ranges,514,1,2,1,1,0,0,1,1,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_1_ternaries_7_exacts_0_size_5423,new,ranges,5423,2,1,1,1,0,0,1,1,81,288,28.12%,81/288,4,960,0.42%,4/960
sample_ranges_1_ternaries_7_exacts_0_size_7713,new,ranges,7713,1,1,1,1,0,0,1,1,114,288,39.58%,114/288,5,960,0.52%,5/960
sample_ranges_1_ternaries_7_exacts_0_size_8015,new,ranges,8015,1,2,1,1,0,0,1,1,72,288,25.00%,72/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_0_exacts_6_size_1003,new,ranges,1003,0,0,0,0,0,0,2,0,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_2_ternaries_0_exacts_6_size_1734,new,ranges,1734,2,0,0,0,0,0,0,0,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_0_exacts_6_size_2235,new,ranges,2235,0,0,0,0,0,0,2,0,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_0_exacts_6_size_2909,new,ranges,2909,0,0,2,2,0,0,0,0,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_0_exacts_6_size_3310,new,ranges,3310,2,0,0,0,0,0,0,0,68,288,23.61%,68/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_0_exacts_6_size_3866,new,ranges,3866,0,0,0,2,0,0,0,0,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_0_exacts_6_size_4205,new,ranges,4205,0,0,0,0,0,0,2,0,63,288,21.88%,63/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_0_exacts_6_size_4304,new,ranges,4304,0,2,2,0,0,0,0,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_0_exacts_6_size_4962,new,ranges,4962,0,0,2,0,0,0,2,0,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_0_exacts_6_size_5089,new,ranges,5089,0,0,2,0,0,0,0,0,75,288,26.04%,75/288,4,960,0.42%,4/960
sample_ranges_2_ternaries_0_exacts_6_size_5371,new,ranges,5371,0,0,0,0,0,0,2,2,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_0_exacts_6_size_5753,new,ranges,5753,0,2,0,2,0,0,0,0,51,288,17.71%,51/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_0_exacts_6_size_6071,new,ranges,6071,2,0,0,0,0,0,0,0,120,288,41.67%,120/288,5,960,0.52%,5/960
sample_ranges_2_ternaries_0_exacts_6_size_6203,new,ranges,6203,0,2,0,2,0,0,0,0,57,288,19.79%,57/288,3,960,0.31%,3/960
sample_ranges_2_ternaries_0_exacts_6_size_7540,new,ranges,7540,0,0,0,0,0,0,2,0,111,288,38.54%,111/288,5,960,0.52%,5/960
sample_ranges_2_ternaries_1_exacts_5_size_1267,new,ranges,1267,1,2,0,0,0,0,2,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_2_ternaries_1_exacts_5_size_1745,new,ranges,1745,0,2,0,0,0,0,0,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_2_ternaries_1_exacts_5_size_2190,new,ranges,2190,2,0,0,0,0,0,0,1,44,288,15.28%,44/288,2,960,0.21%,2/960
