p4_file,table_size,exact_count,wildcard_count,table_memory_estimate_bytes,
2_0_1_0_1_2_1_1_5765.p4,5765,2,6,161420,
2_1_0_1_0_2_0_1_3646.p4,3646,3,5,102088,
1_2_0_0_0_0_1_0_1845.p4,1845,5,3,51660,
2_0_0_1_2_1_1_1_3348.p4,3348,2,6,93744,
0_1_1_1_1_2_1_0_266.p4,266,2,6,7448,
0_2_0_1_2_1_1_0_1534.p4,1534,3,5,42952,
0_0_0_1_2_1_1_0_629.p4,629,4,4,17612,
0_0_0_0_0_0_0_0_1611.p4,1611,8,0,37053,
0_1_0_2_0_2_0_1_7714.p4,7714,4,4,215992,
1_2_0_0_1_1_1_1_6701.p4,6701,2,6,187628,
1_0_1_1_1_2_1_0_6842.p4,6842,2,6,191576,
0_2_0_2_0_2_1_1_6711.p4,6711,3,5,187908,
1_1_0_2_1_0_0_1_3668.p4,3668,3,5,102704,
2_2_1_1_0_0_1_1_1416.p4,1416,2,6,39648,
1_1_1_0_0_2_1_0_723.p4,723,3,5,20244,
1_2_1_0_1_2_1_0_6442.p4,6442,2,6,180376,
0_1_0_2_0_2_1_1_656.p4,656,3,5,18368,
2_2_1_1_0_0_1_0_5846.p4,5846,3,5,163688,
1_2_0_2_1_1_0_1_3033.p4,3033,2,6,84924,
1_1_0_1_0_0_0_1_6828.p4,6828,4,4,191184,
0_0_0_2_0_0_0_1_6053.p4,6053,6,2,169484,
0_2_1_2_2_2_0_0_5074.p4,5074,3,5,142072,
1_1_1_1_2_0_0_1_3030.p4,3030,2,6,84840,
1_1_0_0_2_0_1_0_552.p4,552,4,4,15456,
2_1_0_2_1_0_0_1_2421.p4,2421,3,5,67788,
1_2_1_0_2_0_1_0_5736.p4,5736,3,5,160608,
1_0_1_2_0_0_0_0_5201.p4,5201,5,3,145628,
1_0_0_0_0_1_0_1_6372.p4,6372,5,3,178416,
2_1_1_1_1_2_0_0_627.p4,627,2,6,17556,
0_2_1_0_1_1_1_0_5250.p4,5250,3,5,147000,
2_0_0_1_2_1_1_1_3602.p4,3602,2,6,100856,
0_2_1_2_0_0_0_0_5515.p4,5515,5,3,154420,
0_0_0_0_1_2_1_1_6152.p4,6152,4,4,172256,
2_0_0_0_2_0_0_1_1427.p4,1427,5,3,39956,
0_0_0_2_2_0_1_0_7733.p4,7733,5,3,216524,
1_0_1_1_2_2_1_1_3639.p4,3639,1,7,101892,
0_0_0_2_1_1_1_0_2761.p4,2761,4,4,77308,
0_0_0_2_1_2_1_0_6394.p4,6394,4,4,179032,
0_0_1_2_1_2_0_0_599.p4,599,4,4,16772,
2_1_0_0_1_2_0_1_3579.p4,3579,3,5,100212,
1_2_0_0_1_1_0_1_1032.p4,1032,3,5,28896,
0_0_0_1_2_0_1_1_5500.p4,5500,4,4,154000,
0_1_0_2_2_2_1_1_2445.p4,2445,2,6,68460,
2_0_1_0_2_0_0_1_474.p4,474,4,4,13272,
1_2_1_1_2_1_1_1_7166.p4,7166,0,8,200648,
0_0_1_0_2_2_0_0_5779.p4,5779,5,3,161812,
