p4_file,table_size,exact_count,wildcard_count,table_memory_estimate_bytes,
2_2_1_0_0_2_1_1_5977.p4,5977,2,6,167356,
1_2_1_0_0_1_1_0_4169.p4,4169,3,5,116732,
0_2_0_1_0_1_1_1_4010.p4,4010,3,5,112280,
1_1_0_2_1_0_0_1_5176.p4,5176,3,5,144928,
0_1_1_2_1_1_1_0_7652.p4,7652,2,6,214256,
2_0_0_1_0_1_0_1_4973.p4,4973,4,4,139244,
2_1_0_1_0_0_1_0_827.p4,827,4,4,23156,
0_2_1_2_2_2_1_0_2382.p4,2382,2,6,66696,
2_0_1_1_0_1_0_1_6708.p4,6708,3,5,187824,
1_2_1_0_2_0_0_0_3912.p4,3912,4,4,109536,
2_0_0_0_1_2_1_0_1053.p4,1053,4,4,29484,
0_1_0_2_0_2_0_0_1451.p4,1451,5,3,40628,
0_1_1_1_2_0_0_0_7299.p4,7299,4,4,204372,
2_1_1_1_2_0_1_1_7149.p4,7149,1,7,200172,
2_2_0_2_0_1_0_0_5575.p4,5575,4,4,156100,
2_2_1_1_1_2_0_1_2165.p4,2165,1,7,60620,
2_2_0_0_0_2_1_1_3972.p4,3972,3,5,111216,
0_0_1_2_1_0_1_0_1115.p4,1115,4,4,31220,
2_0_0_2_0_1_0_0_6078.p4,6078,5,3,170184,
0_0_1_0_0_1_1_0_2846.p4,2846,5,3,79688,
0_0_0_2_1_0_0_1_7641.p4,7641,5,3,213948,
1_2_0_1_2_2_0_0_3187.p4,3187,3,5,89236,
1_2_0_1_2_2_1_0_4099.p4,4099,2,6,114772,
1_2_1_0_2_2_0_0_4852.p4,4852,3,5,135856,
1_2_0_0_2_1_0_0_409.p4,409,4,4,11452,
1_0_1_2_0_2_1_0_346.p4,346,3,5,9688,
2_0_0_2_0_1_0_1_5828.p4,5828,4,4,163184,
1_1_0_2_2_0_0_1_3298.p4,3298,3,5,92344,
2_2_1_0_1_2_0_1_3277.p4,3277,2,6,91756,
2_1_1_1_1_0_1_0_2478.p4,2478,2,6,69384,
0_1_1_2_2_2_1_1_7480.p4,7480,1,7,209440,
2_0_1_2_2_1_0_0_1879.p4,1879,3,5,52612,
1_0_0_2_0_2_0_1_6746.p4,6746,4,4,188888,
1_1_0_2_2_1_0_0_2981.p4,2981,3,5,83468,
2_1_0_2_1_2_1_1_6377.p4,6377,1,7,178556,
2_1_0_0_0_1_0_1_2271.p4,2271,4,4,63588,
2_2_0_2_1_2_0_0_2822.p4,2822,3,5,79016,
2_2_1_1_2_1_1_0_1580.p4,1580,1,7,44240,
1_2_0_0_1_0_0_0_7634.p4,7634,5,3,213752,
2_1_0_2_1_2_0_0_2948.p4,2948,3,5,82544,
2_2_0_1_0_2_0_1_6250.p4,6250,3,5,175000,
0_0_1_1_2_1_1_0_2603.p4,2603,3,5,72884,
1_2_0_2_2_2_1_0_3925.p4,3925,2,6,109900,
1_0_1_0_0_2_0_0_5207.p4,5207,5,3,145796,
2_2_0_0_0_2_0_1_5042.p4,5042,4,4,141176,
1_1_1_0_0_0_0_1_5300.p4,5300,4,4,148400,
0_2_0_1_2_0_1_0_693.p4,693,4,4,19404,
1_0_0_2_0_1_0_0_3953.p4,3953,5,3,110684,
2_0_1_2_0_0_1_0_6376.p4,6376,4,4,178528,
1_2_0_0_0_2_1_0_2980.p4,2980,4,4,83440,
1_2_1_1_0_1_1_1_3455.p4,3455,1,7,96740,
0_0_1_2_0_0_1_1_5815.p4,5815,4,4,162820,
0_2_0_1_0_2_1_1_6761.p4,6761,3,5,189308,
2_0_0_2_2_2_1_0_3945.p4,3945,3,5,110460,
2_2_0_2_2_1_0_0_2640.p4,2640,3,5,73920,
1_0_1_1_0_2_0_0_754.p4,754,4,4,21112,
0_1_1_1_1_1_0_1_7476.p4,7476,2,6,209328,
1_1_1_2_1_2_0_1_5043.p4,5043,1,7,141204,
0_0_1_2_2_0_1_1_718.p4,718,3,5,20104,
0_2_0_0_2_0_1_1_7445.p4,7445,4,4,208460,
0_1_1_2_2_2_1_1_6806.p4,6806,1,7,190568,
1_2_0_0_1_0_1_0_5733.p4,5733,4,4,160524,
1_2_1_2_0_1_1_1_2345.p4,2345,1,7,65660,
0_2_0_2_0_1_0_1_7377.p4,7377,4,4,206556,
0_0_0_0_2_1_1_1_3030.p4,3030,4,4,84840,
2_0_1_0_1_0_0_0_1074.p4,1074,5,3,30072,
1_0_1_1_0_1_1_0_3005.p4,3005,3,5,84140,
1_2_1_0_0_2_0_1_5512.p4,5512,3,5,154336,
0_2_1_0_0_1_0_0_3178.p4,3178,5,3,88984,
1_0_0_2_2_1_1_0_7077.p4,7077,3,5,198156,
2_2_1_0_1_2_1_0_7341.p4,7341,2,6,205548,
1_0_1_2_0_1_1_0_889.p4,889,3,5,24892,
2_0_1_1_1_2_0_0_1782.p4,1782,3,5,49896,
1_2_0_0_2_0_0_1_4922.p4,4922,4,4,137816,
2_0_0_2_0_0_0_1_6464.p4,6464,5,3,180992,
1_1_0_2_0_0_0_0_2525.p4,2525,5,3,70700,
2_1_1_2_0_1_0_1_3258.p4,3258,2,6,91224,
1_2_0_0_1_0_0_0_3829.p4,3829,5,3,107212,
0_0_0_1_0_0_1_1_4196.p4,4196,5,3,117488,
0_1_1_0_0_1_0_0_5694.p4,5694,5,3,159432,
1_1_1_0_2_1_0_0_4633.p4,4633,3,5,129724,
1_0_1_0_1_0_0_0_3156.p4,3156,5,3,88368,
2_0_0_0_1_0_0_1_72.p4,72,5,3,2016,
1_1_1_2_0_2_0_0_2912.p4,2912,3,5,81536,
2_0_1_0_1_2_1_0_3504.p4,3504,3,5,98112,
2_2_1_1_0_1_0_1_6127.p4,6127,2,6,171556,
2_2_0_0_1_2_0_1_3095.p4,3095,3,5,86660,
2_2_0_0_0_0_0_0_3792.p4,3792,6,2,106176,
1_1_0_0_2_1_1_1_6110.p4,6110,2,6,171080,
0_2_0_0_1_1_0_0_3094.p4,3094,5,3,86632,
2_1_1_2_1_1_0_0_5764.p4,5764,2,6,161392,
1_0_1_0_2_2_0_1_1333.p4,1333,3,5,37324,
2_2_1_2_1_1_0_1_1567.p4,1567,1,7,43876,
1_1_1_2_0_1_1_1_3879.p4,3879,1,7,108612,
2_2_0_1_0_2_1_1_3035.p4,3035,2,6,84980,
0_1_0_0_0_2_0_1_7797.p4,7797,5,3,218316,
2_2_1_0_0_2_0_0_7034.p4,7034,4,4,196952,
1_1_1_0_0_1_0_0_753.p4,753,4,4,21084,
2_0_0_0_2_0_0_0_4962.p4,4962,6,2,138936,
2_2_1_1_2_2_0_1_6782.p4,6782,1,7,189896,
0_0_0_2_0_1_1_0_1798.p4,1798,5,3,50344,
2_0_0_1_1_1_0_0_4902.p4,4902,4,4,137256,
1_0_1_2_0_2_0_0_7162.p4,7162,4,4,200536,
1_1_0_0_1_0_1_0_3748.p4,3748,4,4,104944,
1_2_1_1_2_1_1_1_444.p4,444,0,8,12432,
2_2_0_1_1_0_0_1_593.p4,593,3,5,16604,
2_0_0_2_0_1_0_0_1668.p4,1668,5,3,46704,
1_2_1_2_0_0_1_1_801.p4,801,2,6,22428,
2_2_0_0_0_0_1_1_7540.p4,7540,4,4,211120,
1_1_1_1_0_2_0_0_7705.p4,7705,3,5,215740,
2_1_0_1_1_1_0_0_2603.p4,2603,3,5,72884,
2_2_1_1_2_1_1_1_6552.p4,6552,0,8,183456,
1_1_0_0_1_2_1_0_3778.p4,3778,3,5,105784,
2_0_1_2_2_1_0_0_1316.p4,1316,3,5,36848,
2_0_1_1_0_0_1_1_4879.p4,4879,3,5,136612,
2_0_1_2_2_2_0_1_6896.p4,6896,2,6,193088,
1_1_0_0_0_1_1_1_2285.p4,2285,3,5,63980,
1_2_0_2_0_2_1_0_4707.p4,4707,3,5,131796,
0_1_1_1_2_1_1_1_1960.p4,1960,1,7,54880,
1_0_1_0_2_0_1_0_629.p4,629,4,4,17612,
2_2_0_0_1_2_1_1_4077.p4,4077,2,6,114156,
0_0_1_2_2_0_0_0_6758.p4,6758,5,3,189224,
0_0_1_1_1_0_0_0_7167.p4,7167,5,3,200676,
0_0_1_2_1_2_1_1_5912.p4,5912,2,6,165536,
0_0_1_2_0_0_0_1_7435.p4,7435,5,3,208180,
1_1_1_1_0_1_1_1_6614.p4,6614,1,7,185192,
2_0_1_0_0_1_0_1_6477.p4,6477,4,4,181356,
0_1_1_1_0_1_1_0_1528.p4,1528,3,5,42784,
2_2_0_0_2_0_0_0_3345.p4,3345,5,3,93660,
1_0_1_0_1_1_1_0_6003.p4,6003,3,5,168084,
2_1_0_0_2_1_0_0_2063.p4,2063,4,4,57764,
2_1_0_2_1_1_0_1_844.p4,844,2,6,23632,
1_2_0_0_2_0_0_0_7347.p4,7347,5,3,205716,
2_2_1_0_1_2_0_0_1833.p4,1833,3,5,51324,
2_2_1_1_1_0_0_1_2506.p4,2506,2,6,70168,
0_2_1_0_1_0_1_1_6958.p4,6958,3,5,194824,
1_0_1_0_0_1_0_1_3980.p4,3980,4,4,111440,
0_1_0_0_2_1_0_1_4810.p4,4810,4,4,134680,
1_0_1_1_2_0_1_0_5981.p4,5981,3,5,167468,
1_1_0_2_0_2_1_0_2981.p4,2981,3,5,83468,
0_0_1_2_1_1_0_0_4500.p4,4500,4,4,126000,
0_2_0_2_0_2_1_1_1953.p4,1953,3,5,54684,
1_2_1_1_0_1_1_0_1799.p4,1799,2,6,50372,
0_0_0_0_0_1_0_1_4481.p4,4481,6,2,125468,
1_1_1_2_2_2_0_1_5002.p4,5002,1,7,140056,
2_1_1_2_2_2_1_1_3166.p4,3166,0,8,88648,
1_2_0_0_0_1_0_1_7164.p4,7164,4,4,200592,
1_1_0_1_0_1_1_0_1838.p4,1838,3,5,51464,
2_0_0_0_0_1_0_1_1156.p4,1156,5,3,32368,
1_1_0_1_1_1_1_1_501.p4,501,1,7,14028,
2_2_1_2_1_1_0_0_4091.p4,4091,2,6,114548,
2_1_0_2_2_1_0_0_7769.p4,7769,3,5,217532,
1_0_1_1_1_0_0_1_8093.p4,8093,3,5,226604,
0_2_0_2_1_2_1_1_7564.p4,7564,2,6,211792,
2_1_0_1_2_0_0_0_1386.p4,1386,4,4,38808,
0_1_1_0_0_0_0_1_240.p4,240,5,3,6720,
0_2_0_2_2_2_0_0_4659.p4,4659,4,4,130452,
0_0_1_0_2_2_0_0_7343.p4,7343,5,3,205604,
0_1_0_2_0_0_1_1_3822.p4,3822,4,4,107016,
1_2_0_1_1_2_0_0_2189.p4,2189,3,5,61292,
1_0_1_0_1_1_0_1_2580.p4,2580,3,5,72240,
0_2_1_1_0_2_1_1_7239.p4,7239,2,6,202692,
1_0_0_0_0_0_0_1_4507.p4,4507,6,2,126196,
2_2_0_2_2_2_1_1_5179.p4,5179,1,7,145012,
1_2_1_2_1_2_1_1_5492.p4,5492,0,8,153776,
1_2_1_2_2_2_0_0_5739.p4,5739,2,6,160692,
0_2_0_0_0_1_1_1_4856.p4,4856,4,4,135968,
2_0_0_1_1_1_0_0_4200.p4,4200,4,4,117600,
0_0_0_0_0_0_1_0_5770.p4,5770,7,1,161560,
0_0_1_0_1_0_1_0_5460.p4,5460,5,3,152880,
1_1_0_1_2_1_1_0_7465.p4,7465,2,6,209020,
2_0_0_1_0_0_0_0_3525.p4,3525,6,2,98700,
0_1_1_2_2_0_0_0_7123.p4,7123,4,4,199444,
0_1_0_1_2_0_0_0_1002.p4,1002,5,3,28056,
2_2_0_0_2_1_0_0_7322.p4,7322,4,4,205016,
0_0_1_1_2_2_0_0_2599.p4,2599,4,4,72772,
2_1_0_1_1_0_1_1_3080.p4,3080,2,6,86240,
2_0_1_1_1_2_0_0_7001.p4,7001,3,5,196028,
1_0_1_1_2_1_0_0_179.p4,179,3,5,5012,
0_1_0_0_0_2_1_1_799.p4,799,4,4,22372,
0_2_1_2_1_0_0_0_1477.p4,1477,4,4,41356,
2_1_0_2_2_0_0_1_6251.p4,6251,3,5,175028,
1_0_0_1_1_1_0_0_4747.p4,4747,4,4,132916,
0_1_0_2_1_0_0_1_7179.p4,7179,4,4,201012,
0_0_0_0_2_2_1_1_7895.p4,7895,4,4,221060,
2_1_1_0_2_0_0_1_4787.p4,4787,3,5,134036,
0_1_0_1_0_2_0_1_6769.p4,6769,4,4,189532,
0_2_1_1_1_1_0_1_4436.p4,4436,2,6,124208,
1_2_1_1_1_1_1_1_3681.p4,3681,0,8,103068,
1_1_0_2_0_0_0_1_6403.p4,6403,4,4,179284,
1_2_1_2_1_1_0_0_4258.p4,4258,2,6,119224,
0_2_0_1_2_2_0_0_5992.p4,5992,4,4,167776,
0_2_1_2_0_1_1_0_1964.p4,1964,3,5,54992,
0_1_0_0_2_1_1_0_7483.p4,7483,4,4,209524,
0_0_0_0_0_0_0_1_1039.p4,1039,7,1,29092,
2_2_0_0_1_1_1_1_1803.p4,1803,2,6,50484,
0_1_0_1_0_1_0_1_2200.p4,2200,4,4,61600,
0_2_0_0_1_0_0_1_917.p4,917,5,3,25676,
1_1_0_1_1_0_0_1_3921.p4,3921,3,5,109788,
2_2_0_0_0_2_1_0_7112.p4,7112,4,4,199136,
2_1_1_0_1_0_1_0_2368.p4,2368,3,5,66304,
2_2_0_1_2_2_0_0_7364.p4,7364,3,5,206192,
2_1_0_0_2_0_0_0_1008.p4,1008,5,3,28224,
1_0_0_1_2_2_0_1_4772.p4,4772,3,5,133616,
1_1_0_2_0_2_0_1_6477.p4,6477,3,5,181356,
1_0_0_0_1_0_0_0_8012.p4,8012,6,2,224336,
1_1_0_2_0_1_1_0_5205.p4,5205,3,5,145740,
2_0_1_2_2_0_0_1_1319.p4,1319,3,5,36932,
1_1_0_1_1_2_1_1_7257.p4,7257,1,7,203196,
0_1_0_0_0_1_1_1_2622.p4,2622,4,4,73416,
0_1_0_1_1_1_0_1_5945.p4,5945,3,5,166460,
2_2_1_0_0_1_0_0_4650.p4,4650,4,4,130200,
2_0_0_0_0_2_0_0_6204.p4,6204,6,2,173712,
0_2_0_0_0_2_1_0_600.p4,600,5,3,16800,
2_1_1_1_1_0_0_0_6322.p4,6322,3,5,177016,
2_1_1_0_2_1_1_1_7082.p4,7082,1,7,198296,
2_1_0_1_1_0_1_0_1574.p4,1574,3,5,44072,
1_0_1_1_2_0_1_1_8125.p4,8125,2,6,227500,
0_0_0_1_0_1_0_0_116.p4,116,6,2,3248,
2_2_1_0_2_0_1_0_5505.p4,5505,3,5,154140,
1_1_0_0_1_2_1_0_4822.p4,4822,3,5,135016,
0_1_1_1_2_2_0_1_533.p4,533,2,6,14924,
2_0_0_1_2_0_0_0_5310.p4,5310,5,3,148680,
2_1_1_1_1_0_1_1_2471.p4,2471,1,7,69188,
1_2_1_0_0_2_1_1_1411.p4,1411,2,6,39508,
0_2_1_0_2_0_0_0_1925.p4,1925,5,3,53900,
1_2_1_2_2_0_0_1_5701.p4,5701,2,6,159628,
0_1_0_1_0_0_1_1_7531.p4,7531,4,4,210868,
1_2_0_0_0_2_1_0_7864.p4,7864,4,4,220192,
2_0_1_1_1_2_1_1_8075.p4,8075,1,7,226100,
1_1_1_1_1_2_1_1_555.p4,555,0,8,15540,
0_2_0_0_1_2_1_1_2520.p4,2520,3,5,70560,
2_2_1_1_0_0_0_1_3949.p4,3949,3,5,110572,
2_2_0_0_0_2_0_0_1087.p4,1087,5,3,30436,
2_1_1_2_1_0_1_0_6065.p4,6065,2,6,169820,
2_1_1_0_2_2_0_0_7696.p4,7696,3,5,215488,
0_1_1_2_1_1_0_0_7657.p4,7657,3,5,214396,
0_2_1_1_2_2_0_0_5172.p4,5172,3,5,144816,
2_2_1_0_2_0_0_0_662.p4,662,4,4,18536,
0_2_1_2_0_1_1_0_792.p4,792,3,5,22176,
2_1_1_0_2_0_1_0_7175.p4,7175,3,5,200900,
2_0_1_0_2_1_1_1_4060.p4,4060,2,6,113680,
0_2_0_2_0_0_1_1_1735.p4,1735,4,4,48580,
1_1_1_2_0_0_1_1_4409.p4,4409,2,6,123452,
0_0_1_2_0_1_1_1_7302.p4,7302,3,5,204456,
2_2_1_1_1_2_0_1_1539.p4,1539,1,7,43092,
0_0_0_2_2_1_1_1_5528.p4,5528,3,5,154784,
0_0_0_2_2_2_1_0_1301.p4,1301,4,4,36428,
2_0_1_1_0_1_0_1_1622.p4,1622,3,5,45416,
0_2_0_1_0_1_1_0_1760.p4,1760,4,4,49280,
0_2_0_0_0_2_1_0_2636.p4,2636,5,3,73808,
1_1_1_0_0_1_1_1_2674.p4,2674,2,6,74872,
2_2_0_2_2_2_0_0_1900.p4,1900,3,5,53200,
1_1_0_0_2_0_1_1_2366.p4,2366,3,5,66248,
0_0_0_1_1_1_1_0_3894.p4,3894,4,4,109032,
2_1_0_2_2_2_1_0_2418.p4,2418,2,6,67704,
2_2_0_1_1_2_1_1_5451.p4,5451,1,7,152628,
2_2_0_2_1_0_0_0_6731.p4,6731,4,4,188468,
2_2_0_1_0_1_0_0_7903.p4,7903,4,4,221284,
1_0_0_1_1_1_1_0_170.p4,170,3,5,4760,
0_0_0_0_0_2_0_1_2880.p4,2880,6,2,80640,
2_1_0_2_2_0_1_1_3869.p4,3869,2,6,108332,
1_0_1_2_2_1_0_0_962.p4,962,3,5,26936,
0_0_0_1_1_0_1_0_4923.p4,4923,5,3,137844,
2_0_0_2_0_2_0_1_721.p4,721,4,4,20188,
1_1_0_0_2_0_1_1_2880.p4,2880,3,5,80640,
2_2_1_2_2_2_1_1_1064.p4,1064,0,8,29792,
1_1_1_2_1_2_1_0_7343.p4,7343,1,7,205604,
1_0_1_2_0_2_1_1_699.p4,699,2,6,19572,
1_2_1_1_2_2_1_1_7840.p4,7840,0,8,219520,
1_0_1_1_1_2_1_1_1483.p4,1483,1,7,41524,
1_2_0_2_1_0_1_1_7500.p4,7500,2,6,210000,
2_1_1_1_1_0_1_1_3205.p4,3205,1,7,89740,
2_2_1_1_0_2_0_1_5836.p4,5836,2,6,163408,
1_0_1_2_1_2_0_0_6879.p4,6879,3,5,192612,
0_0_0_2_2_2_1_0_1218.p4,1218,4,4,34104,
2_1_1_0_2_0_0_1_1318.p4,1318,3,5,36904,
0_2_0_2_2_0_1_1_6777.p4,6777,3,5,189756,
1_2_0_2_0_0_0_0_3362.p4,3362,5,3,94136,
0_1_1_2_2_0_0_1_5820.p4,5820,3,5,162960,
0_2_1_0_2_2_0_1_5704.p4,5704,3,5,159712,
0_0_0_2_2_0_0_0_4831.p4,4831,6,2,135268,
0_0_0_2_1_0_1_0_3844.p4,3844,5,3,107632,
2_0_0_2_2_1_1_1_2044.p4,2044,2,6,57232,
2_2_1_2_0_1_1_0_1694.p4,1694,2,6,47432,
1_0_0_0_2_0_0_1_5196.p4,5196,5,3,145488,
1_0_1_1_1_0_1_1_191.p4,191,2,6,5348,
0_2_1_2_1_1_1_1_7537.p4,7537,1,7,211036,
1_2_1_0_1_1_1_1_498.p4,498,1,7,13944,
1_1_1_0_0_1_0_0_2283.p4,2283,4,4,63924,
2_0_1_0_0_1_0_0_95.p4,95,5,3,2660,
2_1_0_0_0_2_1_0_3541.p4,3541,4,4,99148,
1_2_1_0_1_2_0_1_4387.p4,4387,2,6,122836,
2_0_1_0_1_0_0_0_7162.p4,7162,5,3,200536,
2_0_0_0_2_2_0_0_5053.p4,5053,5,3,141484,
2_1_0_0_1_1_0_0_6456.p4,6456,4,4,180768,
0_2_1_2_2_2_0_1_1546.p4,1546,2,6,43288,
2_2_1_2_0_0_0_1_7358.p4,7358,3,5,206024,
2_2_1_1_0_2_1_0_2491.p4,2491,2,6,69748,
1_0_1_1_0_2_1_1_4762.p4,4762,2,6,133336,
1_2_1_2_2_0_1_1_399.p4,399,1,7,11172,
1_1_1_2_2_2_0_0_7348.p4,7348,2,6,205744,
1_2_0_2_2_2_0_0_6079.p4,6079,3,5,170212,
0_2_0_1_1_2_0_1_1208.p4,1208,3,5,33824,
2_0_1_1_1_0_1_0_5312.p4,5312,3,5,148736,
1_2_0_1_0_1_0_0_1215.p4,1215,4,4,34020,
2_0_1_0_1_2_1_0_1727.p4,1727,3,5,48356,
1_0_0_0_2_2_1_1_2694.p4,2694,3,5,75432,
1_0_1_1_0_2_1_0_6488.p4,6488,3,5,181664,
0_0_0_2_0_0_0_1_600.p4,600,6,2,16800,
2_1_0_0_0_1_1_1_3144.p4,3144,3,5,88032,
2_2_1_2_0_1_1_1_3038.p4,3038,1,7,85064,
1_1_1_2_0_2_0_0_2805.p4,2805,3,5,78540,
1_0_0_0_2_0_1_0_5488.p4,5488,5,3,153664,
1_1_1_2_2_1_0_1_1690.p4,1690,1,7,47320,
0_2_0_0_1_2_0_1_328.p4,328,4,4,9184,
2_0_1_0_2_0_1_0_4790.p4,4790,4,4,134120,
0_2_1_0_2_2_1_0_494.p4,494,3,5,13832,
1_1_0_2_1_2_0_1_642.p4,642,2,6,17976,
1_2_0_1_1_0_1_1_3222.p4,3222,2,6,90216,
2_0_1_1_1_1_1_1_1508.p4,1508,1,7,42224,
0_0_1_0_0_1_1_1_4792.p4,4792,4,4,134176,
0_0_1_2_2_0_0_0_834.p4,834,5,3,23352,
0_0_0_2_1_2_0_1_1320.p4,1320,4,4,36960,
1_2_1_2_2_2_1_0_6589.p4,6589,1,7,184492,
1_1_1_1_1_1_1_0_7874.p4,7874,1,7,220472,
1_0_1_0_2_0_1_0_1477.p4,1477,4,4,41356,
1_0_0_1_1_1_0_1_3686.p4,3686,3,5,103208,
0_2_0_1_1_2_1_1_6503.p4,6503,2,6,182084,
2_0_1_0_0_2_0_1_983.p4,983,4,4,27524,
1_2_1_1_1_2_0_0_5254.p4,5254,2,6,147112,
2_2_0_2_0_0_0_0_2126.p4,2126,5,3,59528,
1_1_0_0_1_0_1_0_4701.p4,4701,4,4,131628,
1_2_0_2_2_2_1_0_486.p4,486,2,6,13608,
0_1_1_1_0_2_0_1_6286.p4,6286,3,5,176008,
0_0_0_2_2_1_1_1_7019.p4,7019,3,5,196532,
1_1_0_2_0_0_0_0_1586.p4,1586,5,3,44408,
0_2_0_1_1_0_1_0_1814.p4,1814,4,4,50792,
1_2_1_1_2_0_0_1_7464.p4,7464,2,6,208992,
2_0_1_0_0_2_1_1_6506.p4,6506,3,5,182168,
0_0_0_0_1_2_1_1_7474.p4,7474,4,4,209272,
0_1_1_2_2_0_1_1_1166.p4,1166,2,6,32648,
2_0_0_2_1_2_1_0_623.p4,623,3,5,17444,
1_0_1_2_2_1_0_1_7962.p4,7962,2,6,222936,
2_2_1_0_2_2_0_1_5991.p4,5991,2,6,167748,
0_0_1_2_2_1_0_1_7338.p4,7338,3,5,205464,
1_2_0_2_2_2_1_0_7542.p4,7542,2,6,211176,
2_0_1_2_0_2_0_0_579.p4,579,4,4,16212,
0_1_0_0_0_0_1_0_1566.p4,1566,6,2,43848,
2_0_1_0_1_2_0_0_7888.p4,7888,4,4,220864,
2_0_1_1_1_1_1_0_638.p4,638,2,6,17864,
0_2_0_1_1_1_0_1_136.p4,136,3,5,3808,
2_0_0_2_0_2_1_0_5573.p4,5573,4,4,156044,
2_0_1_2_0_1_1_1_542.p4,542,2,6,15176,
0_2_1_1_1_2_1_1_1939.p4,1939,1,7,54292,
0_2_0_2_2_2_1_0_4555.p4,4555,3,5,127540,
2_0_1_2_2_2_0_1_2347.p4,2347,2,6,65716,
2_0_1_1_2_0_1_0_4055.p4,4055,3,5,113540,
0_0_0_2_1_1_0_1_6590.p4,6590,4,4,184520,
2_2_0_2_2_2_0_0_6296.p4,6296,3,5,176288,
0_0_1_2_1_1_1_0_7921.p4,7921,3,5,221788,
0_1_1_0_1_0_0_0_3031.p4,3031,5,3,84868,
1_0_0_1_0_2_0_0_1380.p4,1380,5,3,38640,
2_0_0_1_0_1_1_1_5187.p4,5187,3,5,145236,
1_2_0_2_0_1_0_1_7804.p4,7804,3,5,218512,
0_2_0_0_0_0_1_0_5805.p4,5805,6,2,162540,
1_0_1_0_2_1_0_0_2972.p4,2972,4,4,83216,
1_0_0_0_2_0_0_0_3736.p4,3736,6,2,104608,
0_0_0_1_0_0_0_1_1785.p4,1785,6,2,49980,
1_2_0_0_0_2_0_1_3936.p4,3936,4,4,110208,
1_0_0_0_1_2_1_0_362.p4,362,4,4,10136,
2_2_1_2_2_0_0_0_2692.p4,2692,3,5,75376,
2_2_1_0_1_0_1_0_3640.p4,3640,3,5,101920,
0_2_0_0_2_1_0_0_7287.p4,7287,5,3,204036,
2_0_0_0_1_2_0_0_385.p4,385,5,3,10780,
0_0_0_1_2_0_1_0_979.p4,979,5,3,27412,
1_0_0_2_0_1_0_1_6854.p4,6854,4,4,191912,
0_2_0_1_2_2_1_1_3385.p4,3385,2,6,94780,
1_2_1_2_1_2_0_0_2870.p4,2870,2,6,80360,
1_1_0_1_2_2_1_0_6046.p4,6046,2,6,169288,
0_1_1_2_0_0_0_1_4310.p4,4310,4,4,120680,
1_0_0_1_2_1_0_0_7928.p4,7928,4,4,221984,
0_1_0_1_0_2_1_0_7144.p4,7144,4,4,200032,
0_1_0_2_1_1_1_1_4575.p4,4575,2,6,128100,
0_2_1_2_2_0_1_1_3894.p4,3894,2,6,109032,
0_1_1_0_0_0_1_0_2204.p4,2204,5,3,61712,
1_0_1_1_0_0_0_0_87.p4,87,5,3,2436,
2_1_1_1_1_1_1_0_3282.p4,3282,1,7,91896,
2_1_1_0_2_2_1_1_3741.p4,3741,1,7,104748,
2_1_0_0_1_0_0_1_3716.p4,3716,4,4,104048,
1_2_1_1_0_2_0_1_5438.p4,5438,2,6,152264,
0_2_0_1_0_1_0_0_223.p4,223,5,3,6244,
0_0_0_2_0_2_0_1_2822.p4,2822,5,3,79016,
2_2_0_2_1_0_1_1_1483.p4,1483,2,6,41524,
1_1_0_2_2_1_0_0_6712.p4,6712,3,5,187936,
1_2_0_0_1_2_1_1_6010.p4,6010,2,6,168280,
2_2_1_1_0_0_1_0_5229.p4,5229,3,5,146412,
2_1_1_2_2_0_0_1_2244.p4,2244,2,6,62832,
0_1_1_2_1_2_0_1_1603.p4,1603,2,6,44884,
0_1_0_0_2_0_1_0_7218.p4,7218,5,3,202104,
2_1_0_2_0_2_0_0_1674.p4,1674,4,4,46872,
2_2_1_0_2_2_1_1_6549.p4,6549,1,7,183372,
2_2_0_1_1_1_0_0_1367.p4,1367,3,5,38276,
0_0_1_2_1_2_0_0_4565.p4,4565,4,4,127820,
0_0_0_0_1_0_0_1_7786.p4,7786,6,2,218008,
0_1_0_1_0_0_1_1_1990.p4,1990,4,4,55720,
0_1_0_2_2_2_1_0_5530.p4,5530,3,5,154840,
1_1_1_2_2_2_1_0_1169.p4,1169,1,7,32732,
0_1_0_0_0_0_0_1_3569.p4,3569,6,2,99932,
2_1_0_2_1_2_1_0_4887.p4,4887,2,6,136836,
2_2_0_0_1_1_1_0_933.p4,933,3,5,26124,
2_1_0_1_1_2_1_0_1912.p4,1912,2,6,53536,
2_0_1_1_2_0_1_0_6020.p4,6020,3,5,168560,
1_2_0_2_1_1_1_0_3436.p4,3436,2,6,96208,
1_0_0_2_1_1_1_0_2157.p4,2157,3,5,60396,
2_1_0_2_0_2_1_0_7183.p4,7183,3,5,201124,
2_2_1_0_1_2_1_1_5141.p4,5141,1,7,143948,
0_2_0_2_0_0_0_0_5069.p4,5069,6,2,141932,
2_1_1_0_1_0_1_0_5885.p4,5885,3,5,164780,
1_2_1_1_2_2_1_0_1513.p4,1513,1,7,42364,
2_1_0_2_0_0_1_1_4107.p4,4107,3,5,114996,
0_1_1_2_0_1_1_1_1656.p4,1656,2,6,46368,
2_0_0_2_1_2_1_0_1669.p4,1669,3,5,46732,
1_1_1_2_1_1_0_1_6155.p4,6155,1,7,172340,
1_0_0_0_0_1_0_0_7537.p4,7537,6,2,211036,
2_1_1_1_2_1_0_1_7505.p4,7505,1,7,210140,
