total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,memory
2,2,2,2,2,2,2,2,2811,1095.68
2,2,2,2,2,2,2,2,2957,1075.2
2,2,2,2,2,2,2,2,3098,1126.4
2,2,2,2,2,2,2,2,3167,1095.68
2,2,2,2,2,2,2,2,3234,1187.84
2,2,2,2,2,2,2,2,3292,1280.0
2,2,2,2,2,2,2,2,330,532.48
2,2,2,2,2,2,2,2,3464,778.24
2,2,2,2,2,2,2,2,352,235.52
2,2,2,2,2,2,2,2,3577,983.04
2,2,2,2,2,2,2,2,3826,1208.32
2,2,2,2,2,2,2,2,3864,1320.96
2,2,2,2,2,2,2,2,3909,1228.8
2,2,2,2,2,2,2,2,4062,1443.84
2,2,2,2,2,2,2,2,408,655.36
2,2,2,2,2,2,2,2,459,276.48
2,2,2,2,2,2,2,2,589,634.88
2,2,2,2,2,2,2,2,82,532.48
2,2,2,2,2,2,2,2,914,696.32
2,2,2,2,2,2,2,2,982,645.12
2,2,2,2,2,2,2,2,99,163.84
3,3,3,3,1,2,2,3,655,409.6
3,1,2,3,2,2,3,2,1010,788.48
3,2,3,3,2,2,2,1,120,419.84
1,3,2,3,2,2,2,3,1231,819.2
3,2,2,1,3,3,2,2,1272,593.92
2,3,3,2,2,3,2,1,1510,634.88
2,3,2,2,3,1,3,2,1562,747.52
2,3,2,2,2,3,3,1,1644,819.2
3,3,2,3,2,1,2,2,1685,1013.76
2,3,2,2,1,3,2,3,1895,901.12
2,2,3,2,1,3,2,3,1914,737.28
2,2,1,2,3,2,3,3,2093,880.64
1,2,3,3,3,2,2,2,2098,942.08
3,2,2,3,2,1,3,2,2152,757.76
2,2,3,3,1,3,2,2,2174,747.52
3,2,2,3,3,2,1,2,2201,768.0
3,2,3,2,3,2,1,2,2286,1064.96
2,1,3,3,2,2,3,2,2289,1034.24
3,3,1,2,3,2,2,2,234,471.04
3,3,2,2,1,2,2,3,2351,972.8
2,2,2,3,1,3,2,3,2368,952.32
2,3,2,3,1,2,3,2,2370,983.04
3,1,3,2,2,3,2,2,240,522.24
3,2,2,2,3,2,1,3,2440,1024.0
2,1,2,3,2,3,3,2,2570,983.04
3,3,1,2,2,2,3,2,2601,993.28
2,3,3,2,3,2,1,2,2613,1024.0
2,2,1,2,3,3,3,2,2617,1136.64
2,3,2,2,3,1,2,3,2787,1341.44
1,2,2,2,3,2,3,3,2845,993.28
1,2,2,3,2,3,2,3,2985,1085.44
2,1,3,3,3,2,2,2,3259,1310.72
3,2,3,1,2,2,2,3,363,624.64
3,2,2,2,1,3,2,3,3656,1259.52
3,2,3,2,2,1,2,3,3799,1464.32
3,3,2,3,2,2,1,2,3918,1454.08
2,3,1,3,2,3,2,2,3973,1187.84
3,3,3,2,2,2,2,1,3983,1536.0
3,2,2,1,2,2,3,3,3990,1484.8
2,1,3,2,2,3,3,2,4007,1576.96
2,2,3,2,2,3,3,1,4035,1331.2
3,2,3,2,1,2,3,2,4064,1484.8
2,3,3,1,2,3,2,2,40,399.36
3,2,2,3,2,3,2,1,468,563.2
2,3,3,3,2,2,2,1,483,133.12
2,3,3,2,1,3,2,2,537,460.8
3,3,2,1,2,3,2,2,588,634.88
1,3,3,2,2,2,2,3,640,552.96
2,1,2,3,3,2,3,2,667,337.92
3,2,3,2,2,2,1,3,774,245.76
2,3,1,2,2,3,2,3,865,512.0
3,2,2,1,3,2,2,3,875,327.68
2,2,3,2,2,1,2,3,1076,389.12
2,2,2,2,3,2,3,1,1131,552.96
2,3,2,2,1,2,2,3,114,471.04
3,2,2,1,3,2,2,2,1339,706.56
3,2,2,2,2,3,1,2,1358,716.8
2,2,1,2,3,2,2,3,1395,604.16
2,2,2,2,2,3,1,3,1404,819.2
2,3,3,2,1,2,2,2,1406,993.28
1,2,2,2,3,2,2,3,1417,419.84
2,2,1,3,2,2,2,3,1475,706.56
2,3,2,3,2,1,2,2,1738,890.88
3,2,3,2,2,2,1,2,1762,727.04
2,2,2,2,2,1,3,3,1769,942.08
2,3,2,2,2,3,2,1,1792,962.56
3,3,2,2,2,2,2,1,1805,788.48
2,2,2,3,3,2,2,1,1823,798.72
3,2,2,2,2,3,2,1,1889,460.8
2,2,2,3,2,3,1,2,1964,798.72
2,3,2,3,2,2,2,1,205,225.28
1,3,2,2,3,2,2,2,2070,1013.76
2,3,2,1,3,2,2,2,2083,849.92
3,2,2,2,1,2,2,3,2128,931.84
3,1,2,2,2,2,2,3,2137,962.56
3,2,2,2,3,1,2,2,2744,1095.68
2,1,2,3,2,2,3,2,2813,1013.76
3,2,1,2,2,3,2,2,286,399.36
2,2,3,2,3,2,1,2,297,460.8
2,1,3,2,2,2,2,3,2986,1085.44
2,3,2,3,2,1,2,2,3053,1034.24
2,2,2,3,1,3,2,2,3065,1259.52
2,2,3,2,3,2,2,1,3066,1269.76
3,2,2,2,1,2,3,2,3067,1075.2
2,1,3,2,2,3,2,2,3111,1044.48
3,2,3,2,2,2,2,1,311,450.56
2,3,2,2,3,2,1,2,3149,1361.92
2,3,2,2,1,2,3,2,3274,1003.52
2,1,3,2,2,2,2,3,331,215.04
3,2,2,2,3,2,1,2,3359,1146.88
1,2,2,3,2,2,2,3,367,419.84
3,2,3,2,2,2,1,2,3823,1638.4
2,3,3,2,2,2,1,2,3880,1669.12
2,3,3,2,2,2,1,2,3916,1320.96
2,2,1,2,3,3,2,2,3980,1495.04
2,3,2,2,2,1,2,3,4042,1351.68
2,3,1,2,2,2,3,2,4078,1351.68
2,2,2,2,3,2,3,1,569,440.32
2,2,3,2,1,2,2,3,5,337.92
2,2,3,3,2,1,2,2,608,450.56
2,2,3,2,1,2,2,3,625,542.72
3,1,2,2,2,2,2,3,692,706.56
2,1,2,2,2,3,2,3,695,829.44
2,1,2,3,2,3,2,2,763,450.56
2,3,2,1,3,2,2,2,829,839.68
3,1,2,2,2,2,3,2,84,235.52
3,1,2,3,2,2,2,2,940,481.28
3,3,2,2,1,2,2,2,941,737.28
2,2,2,1,3,2,3,2,975,675.84
2,2,1,3,2,2,2,2,1005,778.24
2,3,2,1,2,2,2,2,1058,716.8
2,2,1,2,2,2,2,3,1147,563.2
1,2,2,2,2,3,2,2,1290,901.12
2,1,2,2,2,2,3,2,1349,993.28
3,2,2,2,2,1,2,2,1396,931.84
2,2,2,2,3,1,2,2,1504,952.32
2,2,1,3,2,2,2,2,1541,542.72
2,2,1,2,2,3,2,2,1547,747.52
2,2,3,2,2,2,1,2,1663,942.08
2,2,2,2,1,2,2,3,1685,1024.0
2,1,3,2,2,2,2,2,1712,860.16
2,2,2,2,3,2,2,1,1772,747.52
2,2,2,3,2,2,2,1,1936,880.64
2,3,2,2,2,2,2,1,2044,890.88
2,2,2,2,3,2,2,1,2129,655.36
3,2,2,2,1,2,2,2,2178,1075.2
2,2,2,2,2,1,3,2,2503,1024.0
2,2,2,1,2,2,3,2,2699,870.4
2,2,2,3,2,1,2,2,2713,1003.52
2,3,1,2,2,2,2,2,2885,1280.0
2,2,2,2,2,2,1,3,289,491.52
2,3,2,2,1,2,2,2,2996,1198.08
1,2,2,2,2,3,2,2,3021,1024.0
2,2,2,1,2,2,2,3,3098,1044.48
2,2,2,2,3,2,1,2,3183,819.2
2,1,2,2,2,2,2,3,3278,1105.92
2,2,2,2,2,3,1,2,3423,1443.84
2,2,2,2,2,1,2,3,357,665.6
2,2,2,3,2,1,2,2,3680,1249.28
2,2,2,3,2,2,1,2,3884,1556.48
2,1,2,3,2,2,2,2,3995,1198.08
2,2,2,2,2,2,3,1,4064,1372.16
1,2,2,2,2,2,2,3,4095,1607.68
2,2,2,2,3,2,1,2,517,716.8
2,2,3,2,2,2,1,2,539,696.32
