total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,cpu,memory
2,2,2,2,2,2,2,2,1041,0.60,26.69
2,2,2,2,2,2,2,2,1120,0.60,26.80
2,2,2,2,2,2,2,2,1227,0.50,26.64
2,2,2,2,2,2,2,2,1305,0.50,26.80
2,2,2,2,2,2,2,2,1337,0.60,26.79
2,2,2,2,2,2,2,2,1536,0.50,26.69
2,2,2,2,2,2,2,2,1546,0.50,26.64
2,2,2,2,2,2,2,2,154,0.50,26.28
2,2,2,2,2,2,2,2,1720,0.40,26.95
2,2,2,2,2,2,2,2,1859,0.50,26.85
2,2,2,2,2,2,2,2,2037,0.50,26.71
2,2,2,2,2,2,2,2,2148,0.50,26.73
2,2,2,2,2,2,2,2,2207,0.50,26.98
2,2,2,2,2,2,2,2,2305,0.70,26.87
2,2,2,2,2,2,2,2,2308,0.50,27.02
2,2,2,2,2,2,2,2,2407,0.60,26.89
2,2,2,2,2,2,2,2,2443,0.40,26.69
2,2,2,2,2,2,2,2,265,0.50,26.37
2,2,2,2,2,2,2,2,2713,0.60,26.61
2,2,2,2,2,2,2,2,2811,0.60,27.07
2,2,2,2,2,2,2,2,2957,0.40,27.05
2,2,2,2,2,2,2,2,3098,0.50,27.10
2,2,2,2,2,2,2,2,3167,0.50,27.07
2,2,2,2,2,2,2,2,3234,0.40,27.16
2,2,2,2,2,2,2,2,3292,0.60,27.25
2,2,2,2,2,2,2,2,330,0.60,26.52
2,2,2,2,2,2,2,2,3464,0.50,26.76
2,2,2,2,2,2,2,2,352,0.50,26.23
2,2,2,2,2,2,2,2,3577,0.60,26.96
2,2,2,2,2,2,2,2,3826,0.50,27.18
2,2,2,2,2,2,2,2,3864,0.50,27.29
2,2,2,2,2,2,2,2,3909,0.60,27.20
2,2,2,2,2,2,2,2,4062,0.60,27.41
2,2,2,2,2,2,2,2,408,0.60,26.64
2,2,2,2,2,2,2,2,459,0.60,26.27
2,2,2,2,2,2,2,2,589,0.50,26.62
2,2,2,2,2,2,2,2,82,0.40,26.52
2,2,2,2,2,2,2,2,914,0.50,26.68
2,2,2,2,2,2,2,2,982,0.40,26.63
2,2,2,2,2,2,2,2,99,0.60,26.16
3,3,3,3,1,2,2,3,655,0.60,26.40
3,1,2,3,2,2,3,2,1010,0.40,26.77
3,2,3,3,2,2,2,1,120,0.60,26.41
1,3,2,3,2,2,2,3,1231,0.50,26.80
3,2,2,1,3,3,2,2,1272,0.50,26.58
2,3,3,2,2,3,2,1,1510,0.40,26.62
2,3,2,2,3,1,3,2,1562,0.50,26.73
2,3,2,2,2,3,3,1,1644,0.50,26.80
3,3,2,3,2,1,2,2,1685,0.50,26.99
2,3,2,2,1,3,2,3,1895,0.50,26.88
2,2,3,2,1,3,2,3,1914,0.40,26.72
2,2,1,2,3,2,3,3,2093,0.50,26.86
1,2,3,3,3,2,2,2,2098,0.50,26.92
3,2,2,3,2,1,3,2,2152,0.50,26.74
2,2,3,3,1,3,2,2,2174,0.50,26.73
3,2,2,3,3,2,1,2,2201,0.50,26.75
3,2,3,2,3,2,1,2,2286,0.50,27.04
2,1,3,3,2,2,3,2,2289,0.50,27.01
3,3,1,2,3,2,2,2,234,0.60,26.46
3,3,2,2,1,2,2,3,2351,0.60,26.95
2,2,2,3,1,3,2,3,2368,0.60,26.93
2,3,2,3,1,2,3,2,2370,0.50,26.96
3,1,3,2,2,3,2,2,240,0.50,26.51
3,2,2,2,3,2,1,3,2440,0.50,27.00
2,1,2,3,2,3,3,2,2570,0.40,26.96
3,3,1,2,2,2,3,2,2601,0.50,26.97
2,3,3,2,3,2,1,2,2613,0.40,27.00
2,2,1,2,3,3,3,2,2617,0.50,27.11
2,3,2,2,3,1,2,3,2787,0.60,27.31
1,2,2,2,3,2,3,3,2845,0.30,26.97
1,2,2,3,2,3,2,3,2985,0.70,27.06
2,1,3,3,3,2,2,2,3259,0.50,27.28
3,2,3,1,2,2,2,3,363,0.50,26.61
3,2,2,2,1,3,2,3,3656,0.50,27.23
3,2,3,2,2,1,2,3,3799,0.40,27.43
3,3,2,3,2,2,1,2,3918,0.50,27.42
2,3,1,3,2,3,2,2,3973,0.70,27.16
3,3,3,2,2,2,2,1,3983,0.60,27.50
3,2,2,1,2,2,3,3,3990,0.50,27.45
2,1,3,2,2,3,3,2,4007,0.40,27.54
2,2,3,2,2,3,3,1,4035,0.50,27.30
3,2,3,2,1,2,3,2,4064,0.60,27.45
2,3,3,1,2,3,2,2,40,0.50,26.39
